장소유형코드,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,제한속도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
1,김포시 노인복지회관,경기도,김포시,41570,경기도 김포시 사우중로74번길 48,경기도 김포시 사우동 865,37.62223641,126.7226196,30,경기도 김포시,031-980-2871,김포경찰서,Y,,,2025-12-22
1,김포재가노인지원센터,경기도,김포시,41570,경기도 김포시 월곶면 김포대로 2857-39,경기도 김포시 월곶면 포내리 168-2,37.71745774,126.5359521,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,양촌읍 노인복지회관,경기도,김포시,41570,경기도 김포시 양촌읍 양곡1로68번길 37,경기도 김포시 양촌읍 양곡리 1554,37.65720114,126.6254312,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,갈산3리 경로당,경기도,김포시,41570,경기도 김포시 월곶면 오리정로 107-25,경기도 김포시 월곶면 갈산리 518-11,37.70373482,126.5597977,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,고막리 마을회관,경기도,김포시,41570,경기도 김포시 월곶면 김포대학로 232,경기도 김포시 월곶면 고막리 305,37.72531201,126.5577128,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
2,해맑은마음터,경기도,김포시,41570,경기도 김포시 대곶면 율생중앙로 89,경기도 김포시 대곶면 율생리 472-5,37.6552084,126.5801928,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,약암1리 경로당,경기도,김포시,41570,경기도 김포시 대곶면 약암로948번길 10,경기도 김포시 대곶면 약암리 503-3,37.63851755,126.5538106,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,쇄암리 마을회관,경기도,김포시,41570,경기도 김포시 대곶면 쇄암로128,경기도 김포시 대곶면 쇄암리 284-8,37.67889007,126.5417885,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,포내2리 마을회관,경기도,김포시,41570,경기도 김포시 월곶면 김포대로2970번길39,경기도 김포시 월곶면 포내리 76-3,37.7260915,126.5379972,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,대명2리 마을회관,경기도,김포시,41570,경기도 김포시 대곶면 대곶로 86-17,경기도 김포시 대곶면 대명리 636,37.65257724,126.5531545,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,율생3리 경로당,경기도,김포시,41570,경기도 김포시 대곶면 종생로 30-12,경기도 김포시 대곶면 율생리 306-4,37.648575,126.590136,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,율생4리 노인회관,경기도,김포시,41570,경기도 김포시 대곶면 종생로 115번길 9,경기도 김포시 대곶면 율생리 100-17,37.646115,126.5989228,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,고양1리 마을회관,경기도,김포시,41570,경기도 김포시 월곶면 고양로 115번길 209,경기도 김포시 월곶면 고양리 450-6,37.687825,126.553705,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
2,예지원,경기도,김포시,41570,경기도 김포시 월곶면 용강로 377,경기도 김포시 월곶면 용강리 315-155,37.752252,126.5593146,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
2,김포시장애인복지관,경기도,김포시,41570,경기도 김포시 김포한강3로 291,경기도 김포시 장기동 1888-18,37.64171447,126.6587441,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,초원지3리 경로당,경기도,김포시,41570,경기도 김포시 대곶북로68번길 68,경기도 김포시 대곶면 초원지리 495-13,37.6608522,126.5931523,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,귀전2리 마을회관,경기도,김포시,41570,경기도 김포시 월하로 515,경기도 김포시 통진읍 귀전리 522-4,37.71236262,126.6130019,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,대벽4리 노인회관,경기도,김포시,41570,경기도 김포시 대곶남로 48,경기도 김포시 대곶면 대벽리 689-62,37.605489,126.577614,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,동을산1리 경로당,경기도,김포시,41570,경기도 김포시 월하로652번길 194,경기도 김포시 통진읍 동을산리 116-2,37.70288621,126.6209427,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
1,전류1리 마을회관,경기도,김포시,41570,경기도 김포시 월하로912번길 67-24,경기도 김포시 하성면 전류리 137,37.703029,126.656113,30,경기도 김포시,031-980-2871,김포경찰서,N,,,2025-12-22
